"filename", "language", "C++", "C", "GLSL", "XML", "comment", "blank", "total"
"c:\Users\lenovo\Desktop\bishe\myProj\OpenGLDP\DataObject.cpp", "C++", 41, 0, 0, 0, 0, 8, 49
"c:\Users\lenovo\Desktop\bishe\myProj\OpenGLDP\DataObject.h", "C++", 41, 0, 0, 0, 33, 9, 83
"c:\Users\lenovo\Desktop\bishe\myProj\OpenGLDP\FileName.cpp", "C++", 0, 0, 0, 0, 118, 0, 118
"c:\Users\lenovo\Desktop\bishe\myProj\OpenGLDP\GLGradientEngine.cpp", "C++", 237, 0, 0, 0, 0, 59, 296
"c:\Users\lenovo\Desktop\bishe\myProj\OpenGLDP\GLGradientEngine.h", "C++", 29, 0, 0, 0, 0, 4, 33
"c:\Users\lenovo\Desktop\bishe\myProj\OpenGLDP\OpenGLDP.vcxproj", "XML", 0, 0, 0, 161, 0, 0, 161
"c:\Users\lenovo\Desktop\bishe\myProj\OpenGLDP\Shaders\FD.glsl", "GLSL", 0, 0, 65, 0, 0, 12, 77
"c:\Users\lenovo\Desktop\bishe\myProj\OpenGLDP\Shaders\RGGradient.glsl", "GLSL", 0, 0, 79, 0, 29, 23, 131
"c:\Users\lenovo\Desktop\bishe\myProj\OpenGLDP\Shaders\USGGradient.glsl", "GLSL", 0, 0, 79, 0, 26, 20, 125
"c:\Users\lenovo\Desktop\bishe\myProj\OpenGLDP\Shaders\WLS.glsl", "GLSL", 0, 0, 98, 0, 0, 24, 122
"c:\Users\lenovo\Desktop\bishe\myProj\OpenGLDP\TestConvert1.cpp", "C++", 0, 0, 0, 0, 301, 0, 301
"c:\Users\lenovo\Desktop\bishe\myProj\OpenGLDP\TestGradient.cpp", "C++", 269, 0, 0, 0, 10, 56, 335
"c:\Users\lenovo\Desktop\bishe\myProj\OpenGLDP\VTKDataConverter.cpp", "C++", 476, 0, 0, 0, 8, 62, 546
"c:\Users\lenovo\Desktop\bishe\myProj\OpenGLDP\VTKDataConverter.h", "C++", 39, 0, 0, 0, 62, 21, 122
"c:\Users\lenovo\Desktop\bishe\myProj\OpenGLDP\gl_context_utils.h", "C++", 45, 0, 0, 0, 1, 4, 50
"c:\Users\lenovo\Desktop\bishe\myProj\OpenGLDP\glad.c", "C", 0, 2463, 0, 0, 25, 47, 2535
"Total", "-", 1177, 2463, 321, 161, 613, 349, 5084
