dataset,association,array,input_components,success,failure_reason,run_mode,result_source,reference_mode,method,reps,adaptive_neighborhood,adaptive_dimension,adaptive_regularization,min_neighbors,target_neighbors,max_neighbors,radius_scale,plane_eigen_ratio,line_eigen_ratio,lambda_amplify,vtk_requested_parallel_threads,vtk_backend_mode,geom_available,geom_topo_dim,geom_global_dim,geom_surface_like,geom_extent_x,geom_extent_y,geom_extent_z,geom_eigen_ratio21,geom_eigen_ratio31,geom_eigen_ratio32,geom_dim1_count,geom_dim2_count,geom_dim3_count,result_wall_avg_ms,result_wall_min_ms,result_gpu_avg_ms,result_gpu_min_ms,gl_wall_avg_ms,gl_wall_min_ms,gl_gpu_avg_ms,gl_gpu_min_ms,result_tuples,result_components,ambient_reference,ambient_compare_tuples,ambient_compare_components,ambient_raw_vecs,ambient_finite_vecs,ambient_nonfinite_vecs,ambient_low_ref_count,ambient_low_ref_ratio,ambient_vtk_backend,ambient_vtk_single_threads,ambient_vtk_parallel_threads,ambient_vtk_single_avg_ms,ambient_vtk_single_min_ms,ambient_vtk_parallel_avg_ms,ambient_vtk_parallel_min_ms,ambient_abs_mae,ambient_abs_rmse,ambient_abs_max,ambient_ref_rms,ambient_nmae,ambient_nrmse,ambient_softrel_tau,ambient_softrel_mean,ambient_softrel_median,ambient_softrel_p90,ambient_stable_vecs,ambient_stable_abs_mae,ambient_stable_abs_rmse,ambient_stable_softrel_mean,ambient_stable_softrel_median,ambient_stable_softrel_p90,ambient_angle_mean_deg,ambient_angle_p90_deg,ambient_angle_count,ambient_scale_bias,ambient_worst_tuple,ambient_worst_vector,ambient_worst_abs_err,ambient_worst_ref_norm,ambient_ref_time_avg_ms,ambient_ref_time_min_ms,has_intrinsic,intrinsic_reference,intrinsic_compare_tuples,intrinsic_compare_components,intrinsic_raw_vecs,intrinsic_finite_vecs,intrinsic_nonfinite_vecs,intrinsic_low_ref_count,intrinsic_low_ref_ratio,intrinsic_vtk_backend,intrinsic_vtk_single_threads,intrinsic_vtk_parallel_threads,intrinsic_vtk_single_avg_ms,intrinsic_vtk_single_min_ms,intrinsic_vtk_parallel_avg_ms,intrinsic_vtk_parallel_min_ms,intrinsic_abs_mae,intrinsic_abs_rmse,intrinsic_abs_max,intrinsic_ref_rms,intrinsic_nmae,intrinsic_nrmse,intrinsic_softrel_tau,intrinsic_softrel_mean,intrinsic_softrel_median,intrinsic_softrel_p90,intrinsic_stable_vecs,intrinsic_stable_abs_mae,intrinsic_stable_abs_rmse,intrinsic_stable_softrel_mean,intrinsic_stable_softrel_median,intrinsic_stable_softrel_p90,intrinsic_angle_mean_deg,intrinsic_angle_p90_deg,intrinsic_angle_count,intrinsic_scale_bias,intrinsic_worst_tuple,intrinsic_worst_vector,intrinsic_worst_abs_err,intrinsic_worst_ref_norm
Data\1_0.vtk,CELL,S_Mises,1,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,2,2,1,9.50441,4.55149,0,0.271227,0,0,4,592,0,0.6924,0.4319,0.044304,0.042744,0.6924,0.4319,0.044304,0.042744,596,3,VTK,596,3,596,596,0,294,0.493289,STDThread,1,16,5.49582,4.0745,8.66838,8.4691,1.78807e-06,4.11699e-06,3.25928e-05,52.9308,7.08797e-08,7.77806e-08,2.64654,1.37286e-07,2.32149e-08,1.19902e-07,302,3.09265e-06,5.62499e-06,1.06143e-07,6.70071e-08,1.21797e-07,2.47116e-05,4.39487e-06,596,1,242,0,3.25928e-05,187.656,8.66838,8.4691,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0
Data\1_0.vtk,CELL,benchmark_cubic,1,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,2,2,1,9.50441,4.55149,0,0.271227,0,0,4,592,0,0.65724,0.486,0.0451672,0.043108,0.65724,0.486,0.0451672,0.043108,596,3,ANALYTIC:benchmark_cubic_exact_grad,596,3,596,596,0,222,0.372483,,0,0,0,0,0,0,0.0121411,0.039845,0.211249,0.111326,0.206145,0.357914,0.00556628,0.10777,0.0620487,0.211453,374,0.0192159,0.0502988,0.148041,0.0913808,0.413616,4.96479,8.3862,596,0.784092,19,0,0.211249,0.375006,0,0,1,ANALYTIC:benchmark_cubic_exact_grad [intrinsic],596,3,596,596,0,222,0.372483,,0,0,0,0,0,0,0.0115402,0.0394483,0.21124,0.111029,0.196335,0.355296,0.00555147,0.0975301,0.048964,0.205777,374,0.0182782,0.049798,0.135223,0.0727324,0.406814,3.72547,7.88304,596,0.78648,19,0,0.21124,0.375001
Data\1_0.vtk,CELL,benchmark_gaussian,1,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,2,2,1,9.50441,4.55149,0,0.271227,0,0,4,592,0,0.50214,0.4412,0.04342,0.042744,0.50214,0.4412,0.04342,0.042744,596,3,ANALYTIC:benchmark_gaussian_exact_grad,596,3,596,596,0,0,0,,0,0,0,0,0,0,0.0148744,0.0247435,0.119755,0.155912,0.108188,0.158701,0.00779561,0.118514,0.0685654,0.389577,596,0.0148744,0.0247435,0.118514,0.0685654,0.389577,3.76617,8.20528,596,0.970449,248,0,0.119755,0.216576,0,0,1,ANALYTIC:benchmark_gaussian_exact_grad [intrinsic],596,3,596,596,0,0,0,,0,0,0,0,0,0,0.0148618,0.0247266,0.119755,0.155899,0.108116,0.158606,0.00779495,0.118483,0.0685654,0.389577,596,0.0148618,0.0247266,0.118483,0.0685654,0.389577,3.75232,8.20528,596,0.970521,248,0,0.119755,0.216576
Data\1_0.vtk,CELL,benchmark_linear,1,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,2,2,1,9.50441,4.55149,0,0.271227,0,0,4,592,0,0.70896,0.4752,0.120609,0.043108,0.70896,0.4752,0.120609,0.043108,596,3,ANALYTIC:benchmark_linear_exact_grad,596,3,596,596,0,0,0,,0,0,0,0,0,0,2.01448,2.01472,2.14302,2.47487,0.813972,0.814071,0.123744,0.813972,0.808771,0.825981,596,2.01448,2.01472,0.813972,0.808771,0.825981,54.2382,55.1542,596,0.332804,40,0,2.14302,2.47487,0,0,1,ANALYTIC:benchmark_linear_exact_grad [intrinsic],596,3,596,596,0,0,0,,0,0,0,0,0,0,0.153454,0.238607,0.769753,1.45476,0.105548,0.164018,0.0727378,0.106591,0.054999,0.290027,596,0.153454,0.238607,0.106591,0.054999,0.290027,4.32077,14.06,596,0.961146,40,0,0.769753,1.45774
Data\1_0.vtk,CELL,benchmark_quadratic,1,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,2,2,1,9.50441,4.55149,0,0.271227,0,0,4,592,0,0.74024,0.5914,0.0444496,0.043108,0.74024,0.5914,0.0444496,0.043108,596,3,ANALYTIC:benchmark_quadratic_exact_grad,596,3,596,596,0,0,0,,0,0,0,0,0,0,0.055461,0.113888,0.564787,0.397782,0.193999,0.286308,0.0198891,0.176763,0.142208,0.379113,596,0.055461,0.113888,0.176763,0.142208,0.379113,7.87137,11.8296,596,0.869199,189,0,0.564787,1.06472,0,0,1,ANALYTIC:benchmark_quadratic_exact_grad [intrinsic],596,3,596,596,0,0,0,,0,0,0,0,0,0,0.0403598,0.105538,0.544257,0.395002,0.142134,0.267183,0.0197501,0.120206,0.0719905,0.374581,596,0.0403598,0.105538,0.120206,0.0719905,0.374581,3.83426,8.81202,596,0.879921,302,0,0.544257,1.01572
Data\1_0.vtk,CELL,benchmark_surface_linear,1,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,2,2,1,9.50441,4.55149,0,0.271227,0,0,4,592,0,0.66284,0.5867,0.04446,0.043472,0.66284,0.5867,0.04446,0.043472,596,3,ANALYTIC:benchmark_surface_linear_exact_grad,596,3,596,596,0,0,0,,0,0,0,0,0,0,0.0891676,0.138495,0.48283,0.965321,0.092372,0.14347,0.048266,0.0925326,0.0505386,0.224936,596,0.0891676,0.138495,0.0925326,0.0505386,0.224936,3.58022,11.1952,596,0.970556,155,0,0.48283,0.900064,0,0,1,ANALYTIC:benchmark_surface_linear_exact_grad [intrinsic],596,3,596,596,0,0,0,,0,0,0,0,0,0,0.0889912,0.137899,0.469069,0.965321,0.0921893,0.142853,0.048266,0.0923373,0.0505386,0.224936,596,0.0889912,0.137899,0.0923373,0.0505386,0.224936,3.45762,10.8336,596,0.970556,19,0,0.469069,0.96566
Data\1_0.vtk,CELL,benchmark_surface_trig,1,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,2,2,1,9.50441,4.55149,0,0.271227,0,0,4,592,0,0.92596,0.6547,0.0449592,0.044096,0.92596,0.6547,0.0449592,0.044096,596,3,ANALYTIC:benchmark_surface_trig_exact_grad,596,3,596,596,0,7,0.011745,,0,0,0,0,0,0,0.205311,0.311708,1.48571,2.78416,0.0767647,0.111958,0.139208,0.10065,0.0491751,0.205081,589,0.205096,0.31234,0.0827761,0.0485113,0.195653,4.0675,9.49465,596,0.982785,243,0,1.48571,3.1336,0,0,1,ANALYTIC:benchmark_surface_trig_exact_grad [intrinsic],596,3,596,596,0,7,0.011745,,0,0,0,0,0,0,0.203871,0.310448,1.48571,2.78416,0.0762266,0.111505,0.139208,0.0915345,0.0491751,0.205081,589,0.204822,0.311995,0.0820465,0.0485113,0.195653,3.5868,8.84802,596,0.982785,243,0,1.48571,3.1336
Data\1_0.vtk,CELL,benchmark_surface_vec_linear,3,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,2,2,1,9.50441,4.55149,0,0.271227,0,0,4,592,0,1.45908,0.6597,0.0608504,0.058604,1.45908,0.6597,0.0608504,0.058604,596,9,ANALYTIC:benchmark_surface_vec_linear_exact_grad,596,9,1788,1788,0,0,0,,0,0,0,0,0,0,0.0672564,0.117385,0.525904,0.743809,0.09792,0.157816,0.0371904,0.098063,0.0508582,0.234296,1788,0.0672564,0.117385,0.098063,0.0508582,0.234296,3.8467,10.7477,1788,0.964631,40,1,0.525904,0.948683,0,0,1,ANALYTIC:benchmark_surface_vec_linear_exact_grad [intrinsic],596,9,1788,1788,0,0,0,,0,0,0,0,0,0,0.0665388,0.115511,0.525904,0.743809,0.0968753,0.155297,0.0371904,0.0956771,0.0508582,0.234296,1788,0.0665388,0.115511,0.0956771,0.0508582,0.234296,3.58515,10.2416,1788,0.964631,40,1,0.525904,0.948683
Data\1_0.vtk,CELL,benchmark_trig,1,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,2,2,1,9.50441,4.55149,0,0.271227,0,0,4,592,0,0.6318,0.5838,0.0445328,0.043888,0.6318,0.5838,0.0445328,0.043888,596,3,ANALYTIC:benchmark_trig_exact_grad,596,3,596,596,0,0,0,,0,0,0,0,0,0,0.841994,0.851984,1.68031,2.9124,0.29671,0.292537,0.14562,0.327182,0.260363,0.507178,596,0.841994,0.851984,0.327182,0.260363,0.507178,19.0611,29.8845,596,0.908991,243,0,1.68031,3.23054,0,0,1,ANALYTIC:benchmark_trig_exact_grad [intrinsic],596,3,596,596,0,7,0.011745,,0,0,0,0,0,0,0.215737,0.327108,1.48546,2.80323,0.0798186,0.11669,0.140161,0.0930953,0.0499923,0.208942,589,0.216829,0.328768,0.0836996,0.0494547,0.197514,3.59504,10.0942,596,0.980746,243,0,1.48546,3.13361
Data\1_0.vtk,CELL,benchmark_vec_linear,3,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,2,2,1,9.50441,4.55149,0,0.271227,0,0,4,592,0,0.50252,0.4864,0.0578032,0.056576,0.50252,0.4864,0.0578032,0.056576,596,9,ANALYTIC:benchmark_vec_linear_exact_grad,596,9,1788,1788,0,0,0,,0,0,0,0,0,0,0.55571,0.623642,0.960786,1.10303,0.509392,0.565392,0.0551513,0.495192,0.397545,0.803783,1788,0.55571,0.623642,0.495192,0.397545,0.803783,30.545,53.4057,1788,0.671303,210,2,0.960786,1.1225,0,0,1,ANALYTIC:benchmark_vec_linear_exact_grad [intrinsic],596,9,1788,1788,0,1,0.000559284,,0,0,0,0,0,0,0.090441,0.14636,0.646716,0.920131,0.100933,0.159064,0.0460065,0.101448,0.0540251,0.245875,1787,0.0904817,0.1464,0.101288,0.0540214,0.243819,3.88067,11.7524,1788,0.962715,40,1,0.646716,1.17047
