dataset,association,array,input_components,success,failure_reason,run_mode,result_source,reference_mode,method,reps,adaptive_neighborhood,adaptive_dimension,adaptive_regularization,min_neighbors,target_neighbors,max_neighbors,radius_scale,plane_eigen_ratio,line_eigen_ratio,lambda_amplify,vtk_requested_parallel_threads,vtk_backend_mode,geom_available,geom_topo_dim,geom_global_dim,geom_surface_like,geom_extent_x,geom_extent_y,geom_extent_z,geom_eigen_ratio21,geom_eigen_ratio31,geom_eigen_ratio32,geom_dim1_count,geom_dim2_count,geom_dim3_count,result_wall_avg_ms,result_wall_min_ms,result_gpu_avg_ms,result_gpu_min_ms,gl_wall_avg_ms,gl_wall_min_ms,gl_gpu_avg_ms,gl_gpu_min_ms,result_tuples,result_components,ambient_reference,ambient_compare_tuples,ambient_compare_components,ambient_raw_vecs,ambient_finite_vecs,ambient_nonfinite_vecs,ambient_low_ref_count,ambient_low_ref_ratio,ambient_vtk_backend,ambient_vtk_single_threads,ambient_vtk_parallel_threads,ambient_vtk_single_avg_ms,ambient_vtk_single_min_ms,ambient_vtk_parallel_avg_ms,ambient_vtk_parallel_min_ms,ambient_abs_mae,ambient_abs_rmse,ambient_abs_max,ambient_ref_rms,ambient_nmae,ambient_nrmse,ambient_softrel_tau,ambient_softrel_mean,ambient_softrel_median,ambient_softrel_p90,ambient_stable_vecs,ambient_stable_abs_mae,ambient_stable_abs_rmse,ambient_stable_softrel_mean,ambient_stable_softrel_median,ambient_stable_softrel_p90,ambient_angle_mean_deg,ambient_angle_p90_deg,ambient_angle_count,ambient_scale_bias,ambient_worst_tuple,ambient_worst_vector,ambient_worst_abs_err,ambient_worst_ref_norm,ambient_ref_time_avg_ms,ambient_ref_time_min_ms,has_intrinsic,intrinsic_reference,intrinsic_compare_tuples,intrinsic_compare_components,intrinsic_raw_vecs,intrinsic_finite_vecs,intrinsic_nonfinite_vecs,intrinsic_low_ref_count,intrinsic_low_ref_ratio,intrinsic_vtk_backend,intrinsic_vtk_single_threads,intrinsic_vtk_parallel_threads,intrinsic_vtk_single_avg_ms,intrinsic_vtk_single_min_ms,intrinsic_vtk_parallel_avg_ms,intrinsic_vtk_parallel_min_ms,intrinsic_abs_mae,intrinsic_abs_rmse,intrinsic_abs_max,intrinsic_ref_rms,intrinsic_nmae,intrinsic_nrmse,intrinsic_softrel_tau,intrinsic_softrel_mean,intrinsic_softrel_median,intrinsic_softrel_p90,intrinsic_stable_vecs,intrinsic_stable_abs_mae,intrinsic_stable_abs_rmse,intrinsic_stable_softrel_mean,intrinsic_stable_softrel_median,intrinsic_stable_softrel_p90,intrinsic_angle_mean_deg,intrinsic_angle_p90_deg,intrinsic_angle_count,intrinsic_scale_bias,intrinsic_worst_tuple,intrinsic_worst_vector,intrinsic_worst_abs_err,intrinsic_worst_ref_norm
Data\1_0.vtk,POINT,RF,3,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,2,2,1,10,5,0,0.28762,0,0,0,642,0,1.59446,0.6503,0.162708,0.161304,1.59446,0.6503,0.162708,0.161304,642,9,VTK,642,9,1926,1926,0,1904,0.988577,STDThread,1,16,9.58492,8.3585,14.0288,13.5499,4.6985e-10,9.11213e-09,2.38429e-07,0.161713,2.91327e-08,5.63477e-08,0.00808563,3.42126e-10,0,0,22,4.11332e-08,8.52583e-08,2.99515e-08,2.33877e-10,1.19009e-07,1.87381e-07,8.53774e-07,22,1,54,0,2.38429e-07,1.99141,14.0288,13.5499,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0
Data\1_0.vtk,POINT,benchmark_cubic,1,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,2,2,1,10,5,0,0.28762,0,0,0,642,0,0.54616,0.4202,0.113974,0.11102,0.54616,0.4202,0.113974,0.11102,642,3,ANALYTIC:benchmark_cubic_exact_grad,642,3,642,642,0,251,0.390966,,0,0,0,0,0,0,0.00385791,0.00869395,0.0426109,0.114383,0.0632864,0.0760075,0.00571914,0.0477547,0.0365418,0.0975505,391,0.00625207,0.0111394,0.0640025,0.055746,0.111793,2.94592,4.86701,642,0.963191,0,0,0.0426109,0.38116,0,0,1,ANALYTIC:benchmark_cubic_exact_grad [intrinsic],642,3,642,642,0,251,0.390966,,0,0,0,0,0,0,0.0026846,0.00753545,0.0382639,0.114301,0.0440793,0.0659266,0.00571503,0.0309147,0.0179335,0.0846125,391,0.00435579,0.00965532,0.0416296,0.027659,0.0965035,1.13185,2.59474,642,0.964577,0,0,0.0382639,0.380699
Data\1_0.vtk,POINT,benchmark_gaussian,1,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,2,2,1,10,5,0,0.28762,0,0,0,642,0,0.36928,0.2581,0.109106,0.104052,0.36928,0.2581,0.109106,0.104052,642,3,ANALYTIC:benchmark_gaussian_exact_grad,642,3,642,642,0,0,0,,0,0,0,0,0,0,0.00192649,0.00351007,0.0169651,0.146374,0.0150587,0.0239801,0.0073187,0.0191917,0.00831358,0.0373247,642,0.00192649,0.00351007,0.0191917,0.00831358,0.0373247,0.329333,0.799306,642,0.998301,26,0,0.0169651,0.104811,0,0,1,ANALYTIC:benchmark_gaussian_exact_grad [intrinsic],642,3,642,642,0,0,0,,0,0,0,0,0,0,0.00192649,0.00351007,0.0169651,0.146374,0.0150587,0.0239801,0.0073187,0.0191917,0.00831358,0.0373247,642,0.00192649,0.00351007,0.0191917,0.00831358,0.0373247,0.329333,0.799307,642,0.998301,26,0,0.0169651,0.104811
Data\1_0.vtk,POINT,benchmark_linear,1,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,2,2,1,10,5,0,0.28762,0,0,0,642,0,0.3721,0.3409,0.111218,0.109668,0.3721,0.3409,0.111218,0.109668,642,3,ANALYTIC:benchmark_linear_exact_grad,642,3,642,642,0,0,0,,0,0,0,0,0,0,2,2,2,2.47487,0.808122,0.808122,0.123744,0.808122,0.808122,0.808122,642,2,2,0.808122,0.808122,0.808122,53.9129,53.9129,642,0.346939,198,0,2,2.47487,0,0,1,ANALYTIC:benchmark_linear_exact_grad [intrinsic],642,3,642,642,0,0,0,,0,0,0,0,0,0,8.63217e-08,1.35626e-07,5.49528e-07,1.45774,5.92162e-08,9.30387e-08,0.0728869,5.92162e-08,4.08884e-08,1.68587e-07,642,8.63217e-08,1.35626e-07,5.92162e-08,4.08884e-08,1.68587e-07,2.14318e-06,6.09716e-06,642,1,198,0,5.49528e-07,1.45774
Data\1_0.vtk,POINT,benchmark_quadratic,1,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,2,2,1,10,5,0,0.28762,0,0,0,642,0,0.52228,0.3536,0.111051,0.10946,0.52228,0.3536,0.111051,0.10946,642,3,ANALYTIC:benchmark_quadratic_exact_grad,642,3,642,642,0,0,0,,0,0,0,0,0,0,0.0297532,0.0434296,0.148429,0.40472,0.103057,0.107308,0.020236,0.109448,0.108248,0.182428,642,0.0297532,0.0434296,0.109448,0.108248,0.182428,6.11432,10.4721,642,0.977497,1,0,0.148429,1.00475,0,0,1,ANALYTIC:benchmark_quadratic_exact_grad [intrinsic],642,3,642,642,0,4,0.00623053,,0,0,0,0,0,0,0.00492282,0.0116227,0.0559018,0.402551,0.0171517,0.0288727,0.0201276,0.0181096,0.00897008,0.0501839,638,0.00494081,0.011658,0.0175836,0.00889314,0.0498029,0.468962,1.34097,642,0.98806,0,0,0.0559018,1.068
Data\1_0.vtk,POINT,benchmark_surface_linear,1,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,2,2,1,10,5,0,0.28762,0,0,0,642,0,0.3625,0.3441,0.110458,0.109928,0.3625,0.3441,0.110458,0.109928,642,3,ANALYTIC:benchmark_surface_linear_exact_grad,642,3,642,642,0,0,0,,0,0,0,0,0,0,1.27986e-07,1.62316e-07,8.86087e-07,0.96566,1.32537e-07,1.68088e-07,0.048283,1.32537e-07,1.11275e-07,2.48818e-07,642,1.27986e-07,1.62316e-07,1.32537e-07,1.11275e-07,2.48818e-07,4.44606e-06,9.54548e-06,642,1,3,0,8.86087e-07,0.96566,0,0,1,ANALYTIC:benchmark_surface_linear_exact_grad [intrinsic],642,3,642,642,0,0,0,,0,0,0,0,0,0,1.27986e-07,1.62316e-07,8.86087e-07,0.96566,1.32537e-07,1.68088e-07,0.048283,1.32537e-07,1.11275e-07,2.48818e-07,642,1.27986e-07,1.62316e-07,1.32537e-07,1.11275e-07,2.48818e-07,4.40062e-06,9.54548e-06,642,1,3,0,8.86087e-07,0.96566
Data\1_0.vtk,POINT,benchmark_surface_trig,1,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,2,2,1,10,5,0,0.28762,0,0,0,642,0,0.46204,0.3588,0.111041,0.110032,0.46204,0.3588,0.111041,0.110032,642,3,ANALYTIC:benchmark_surface_trig_exact_grad,642,3,642,642,0,2,0.00311526,,0,0,0,0,0,0,0.018565,0.0498467,0.254449,2.77802,0.00695815,0.0179433,0.138901,0.0311531,0.00151483,0.0208358,640,0.017869,0.048068,0.0258221,0.00149478,0.0207974,1.43299,0.920073,642,0.998606,2,0,0.254449,0.777468,0,0,1,ANALYTIC:benchmark_surface_trig_exact_grad [intrinsic],642,3,642,642,0,2,0.00311526,,0,0,0,0,0,0,0.018565,0.0498467,0.254449,2.77802,0.00695815,0.0179433,0.138901,0.0311531,0.00151483,0.0208358,640,0.017869,0.048068,0.0258221,0.00149478,0.0207974,1.43299,0.920073,642,0.998606,2,0,0.254449,0.777468
Data\1_0.vtk,POINT,benchmark_surface_vec_linear,3,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,2,2,1,10,5,0,0.28762,0,0,0,642,0,0.52456,0.4687,0.16171,0.16094,0.52456,0.4687,0.16171,0.16094,642,9,ANALYTIC:benchmark_surface_vec_linear_exact_grad,642,9,1926,1926,0,0,0,,0,0,0,0,0,0,7.64449e-08,9.89777e-08,5.09262e-07,0.744983,1.11066e-07,1.32859e-07,0.0372492,1.14747e-07,1.02221e-07,2.16844e-07,1926,7.64449e-08,9.89777e-08,1.14747e-07,1.02221e-07,2.16844e-07,3.67892e-06,8.09961e-06,1926,1,91,0,5.09262e-07,0.824621,0,0,1,ANALYTIC:benchmark_surface_vec_linear_exact_grad [intrinsic],642,9,1926,1926,0,0,0,,0,0,0,0,0,0,7.64449e-08,9.89777e-08,5.09262e-07,0.744983,1.11066e-07,1.32859e-07,0.0372492,1.14747e-07,1.02221e-07,2.16844e-07,1926,7.64449e-08,9.89777e-08,1.14747e-07,1.02221e-07,2.16844e-07,3.67259e-06,8.09961e-06,1926,1,91,0,5.09262e-07,0.824621
Data\1_0.vtk,POINT,benchmark_trig,1,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,2,2,1,10,5,0,0.28762,0,0,0,642,0,0.6498,0.3618,0.253812,0.104624,0.6498,0.3618,0.253812,0.104624,642,3,ANALYTIC:benchmark_trig_exact_grad,642,3,642,642,0,0,0,,0,0,0,0,0,0,0.787158,0.787189,0.828176,2.90738,0.278104,0.270756,0.145369,0.31013,0.245991,0.491529,642,0.787158,0.787189,0.31013,0.245991,0.491529,18.5593,29.4392,642,0.925351,0,0,0.828176,1.36035,0,0,1,ANALYTIC:benchmark_trig_exact_grad [intrinsic],642,3,642,642,0,2,0.00311526,,0,0,0,0,0,0,0.0211982,0.0530724,0.262725,2.79928,0.00784853,0.0189593,0.139964,0.0257133,0.00191242,0.0251397,640,0.0205104,0.0514155,0.0204065,0.0018927,0.0244822,0.95453,0.915916,640,0.998194,1,0,0.262725,1.11072
Data\1_0.vtk,POINT,benchmark_vec_linear,3,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,2,2,1,10,5,0,0.28762,0,0,0,642,0,0.79616,0.6002,0.336066,0.160368,0.79616,0.6002,0.336066,0.160368,642,9,ANALYTIC:benchmark_vec_linear_exact_grad,642,9,1926,1926,0,0,0,,0,0,0,0,0,0,0.533333,0.60553,0.9,1.10303,0.48888,0.548972,0.0551513,0.474181,0.392837,0.801784,1926,0.533333,0.60553,0.474181,0.392837,0.801784,29.8689,53.3008,1926,0.69863,29,2,0.9,1.1225,0,0,1,ANALYTIC:benchmark_vec_linear_exact_grad [intrinsic],642,9,1926,1926,0,0,0,,0,0,0,0,0,0,1.02317e-07,1.27785e-07,8.30197e-07,0.921954,1.13867e-07,1.38602e-07,0.0460977,1.13974e-07,1.01847e-07,2.09964e-07,1926,1.02317e-07,1.27785e-07,1.13974e-07,1.01847e-07,2.09964e-07,3.55534e-06,7.58851e-06,1926,1,24,0,8.30197e-07,0.8544
