dataset,association,array,input_components,success,failure_reason,run_mode,result_source,reference_mode,method,reps,adaptive_neighborhood,adaptive_dimension,adaptive_regularization,min_neighbors,target_neighbors,max_neighbors,radius_scale,plane_eigen_ratio,line_eigen_ratio,lambda_amplify,vtk_requested_parallel_threads,vtk_backend_mode,geom_available,geom_topo_dim,geom_global_dim,geom_surface_like,geom_extent_x,geom_extent_y,geom_extent_z,geom_eigen_ratio21,geom_eigen_ratio31,geom_eigen_ratio32,geom_dim1_count,geom_dim2_count,geom_dim3_count,result_wall_avg_ms,result_wall_min_ms,result_gpu_avg_ms,result_gpu_min_ms,gl_wall_avg_ms,gl_wall_min_ms,gl_gpu_avg_ms,gl_gpu_min_ms,result_tuples,result_components,ambient_reference,ambient_compare_tuples,ambient_compare_components,ambient_raw_vecs,ambient_finite_vecs,ambient_nonfinite_vecs,ambient_low_ref_count,ambient_low_ref_ratio,ambient_vtk_backend,ambient_vtk_single_threads,ambient_vtk_parallel_threads,ambient_vtk_single_avg_ms,ambient_vtk_single_min_ms,ambient_vtk_parallel_avg_ms,ambient_vtk_parallel_min_ms,ambient_abs_mae,ambient_abs_rmse,ambient_abs_max,ambient_ref_rms,ambient_nmae,ambient_nrmse,ambient_softrel_tau,ambient_softrel_mean,ambient_softrel_median,ambient_softrel_p90,ambient_stable_vecs,ambient_stable_abs_mae,ambient_stable_abs_rmse,ambient_stable_softrel_mean,ambient_stable_softrel_median,ambient_stable_softrel_p90,ambient_angle_mean_deg,ambient_angle_p90_deg,ambient_angle_count,ambient_scale_bias,ambient_worst_tuple,ambient_worst_vector,ambient_worst_abs_err,ambient_worst_ref_norm,ambient_ref_time_avg_ms,ambient_ref_time_min_ms,has_intrinsic,intrinsic_reference,intrinsic_compare_tuples,intrinsic_compare_components,intrinsic_raw_vecs,intrinsic_finite_vecs,intrinsic_nonfinite_vecs,intrinsic_low_ref_count,intrinsic_low_ref_ratio,intrinsic_vtk_backend,intrinsic_vtk_single_threads,intrinsic_vtk_parallel_threads,intrinsic_vtk_single_avg_ms,intrinsic_vtk_single_min_ms,intrinsic_vtk_parallel_avg_ms,intrinsic_vtk_parallel_min_ms,intrinsic_abs_mae,intrinsic_abs_rmse,intrinsic_abs_max,intrinsic_ref_rms,intrinsic_nmae,intrinsic_nrmse,intrinsic_softrel_tau,intrinsic_softrel_mean,intrinsic_softrel_median,intrinsic_softrel_p90,intrinsic_stable_vecs,intrinsic_stable_abs_mae,intrinsic_stable_abs_rmse,intrinsic_stable_softrel_mean,intrinsic_stable_softrel_median,intrinsic_stable_softrel_p90,intrinsic_angle_mean_deg,intrinsic_angle_p90_deg,intrinsic_angle_count,intrinsic_scale_bias,intrinsic_worst_tuple,intrinsic_worst_vector,intrinsic_worst_abs_err,intrinsic_worst_ref_norm
Data\ShipHull_0.vtk,CELL,S_Mises,1,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,2,2,1,245.965,50,21.3493,0.0616811,0.0117291,0.190158,0,268,0,0.7309,0.4823,0.0436384,0.041808,0.7309,0.4823,0.0436384,0.041808,268,3,VTK,268,3,268,268,0,3,0.011194,STDThread,1,16,4.89318,3.971,8.3158,7.245,5784.52,12302.9,62181.1,572571,0.0128725,0.0214872,28628.6,0.011457,0.00167162,0.0327648,265,5849.9,12372.4,0.0115831,0.0019821,0.03299,0.65683,1.87762,268,0.999538,227,0,62181.1,613898,8.3158,7.245,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0
Data\ShipHull_0.vtk,CELL,benchmark_cubic,1,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,2,2,1,245.965,50,21.3493,0.0616811,0.0117291,0.190158,0,268,0,0.69648,0.5862,0.0436488,0.042276,0.69648,0.5862,0.0436488,0.042276,268,3,ANALYTIC:benchmark_cubic_exact_grad,268,3,268,268,0,21,0.0783582,,0,0,0,0,0,0,0.0511093,0.111856,0.421548,0.187201,0.358122,0.597519,0.00936007,0.294608,0.173451,0.862349,247,0.0552168,0.11651,0.294247,0.165205,0.902054,20.2588,63.1034,268,0.623161,219,0,0.421548,0.374689,0,0,1,ANALYTIC:benchmark_cubic_exact_grad [intrinsic],268,3,268,268,0,41,0.152985,,0,0,0,0,0,0,0.0133906,0.0347531,0.193376,0.158101,0.11109,0.219815,0.00790507,0.132872,0.0505634,0.22191,227,0.0151835,0.0372804,0.0777308,0.0360617,0.22886,4.76301,13.2438,268,0.894148,219,0,0.193376,0.287138
Data\ShipHull_0.vtk,CELL,benchmark_gaussian,1,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,2,2,1,245.965,50,21.3493,0.0616811,0.0117291,0.190158,0,268,0,0.54902,0.3822,0.0418184,0.041288,0.54902,0.3822,0.0418184,0.041288,268,3,ANALYTIC:benchmark_gaussian_exact_grad,268,3,268,268,0,0,0,,0,0,0,0,0,0,0.0029989,0.00317722,0.0049586,0.00762827,0.406244,0.416506,0.000381413,0.451708,0.368334,0.889715,268,0.0029989,0.00317722,0.451708,0.368334,0.889715,29.1838,59.8825,268,0.813329,201,0,0.0049586,0.00552913,0,0,1,ANALYTIC:benchmark_gaussian_exact_grad [intrinsic],268,3,268,268,0,4,0.0149254,,0,0,0,0,0,0,0.000608668,0.000859016,0.00238003,0.00697769,0.0940052,0.123109,0.000348885,0.146731,0.0640656,0.343135,264,0.000611451,0.00086221,0.130498,0.0609895,0.323895,6.52403,17.5626,268,0.969886,202,0,0.00238003,0.00488531
Data\ShipHull_0.vtk,CELL,benchmark_linear,1,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,2,2,1,245.965,50,21.3493,0.0616811,0.0117291,0.190158,0,268,0,0.59986,0.3282,0.0425152,0.041652,0.59986,0.3282,0.0425152,0.041652,268,3,ANALYTIC:benchmark_linear_exact_grad,268,3,268,268,0,0,0,,0,0,0,0,0,0,1.58703,1.67439,2.40937,2.47487,0.641258,0.676555,0.123744,0.641258,0.662703,0.853333,268,1.58703,1.67439,0.641258,0.662703,0.853333,39.1419,56.3416,268,0.514294,133,0,2.40937,2.47487,0,0,1,ANALYTIC:benchmark_linear_exact_grad [intrinsic],268,3,268,268,0,0,0,,0,0,0,0,0,0,0.375702,0.525839,1.31262,1.90177,0.202593,0.2765,0.0950884,0.191233,0.120519,0.476901,268,0.375702,0.525839,0.191233,0.120519,0.476901,6.03584,17.0563,268,0.86781,256,0,1.31262,2.46064
Data\ShipHull_0.vtk,CELL,benchmark_quadratic,1,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,2,2,1,245.965,50,21.3493,0.0616811,0.0117291,0.190158,0,268,0,0.49554,0.4209,0.041548,0.041288,0.49554,0.4209,0.041548,0.041288,268,3,ANALYTIC:benchmark_quadratic_exact_grad,268,3,268,268,0,1,0.00373134,,0,0,0,0,0,0,0.181986,0.310777,1.13562,0.624011,0.330684,0.498032,0.0312006,0.315496,0.232996,0.765977,267,0.182578,0.311355,0.313829,0.232774,0.749706,19.905,47.9087,268,0.732684,219,0,1.13562,1.00301,0,0,1,ANALYTIC:benchmark_quadratic_exact_grad [intrinsic],268,3,268,268,0,1,0.00373134,,0,0,0,0,0,0,0.0467462,0.0983211,0.506292,0.556338,0.096106,0.176729,0.0278169,0.106058,0.045245,0.277801,267,0.0469177,0.098505,0.106326,0.0452855,0.278183,4.35193,8.868,268,0.930795,219,0,0.506292,0.688273
Data\ShipHull_0.vtk,CELL,benchmark_surface_linear,1,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,2,2,1,245.965,50,21.3493,0.0616811,0.0117291,0.190158,0,268,0,0.71682,0.4326,0.198432,0.04212,0.71682,0.4326,0.198432,0.04212,268,3,ANALYTIC:benchmark_surface_linear_exact_grad,268,3,268,268,0,0,0,,0,0,0,0,0,0,0.0717102,0.112428,0.507551,0.901193,0.0804505,0.124755,0.0450596,0.0903853,0.0473937,0.204028,268,0.0717102,0.112428,0.0903853,0.0473937,0.204028,4.39548,10.01,268,0.98015,219,0,0.507551,0.683702,0,0,1,ANALYTIC:benchmark_surface_linear_exact_grad [intrinsic],268,3,268,268,0,0,0,,0,0,0,0,0,0,0.0628759,0.099196,0.450627,0.901193,0.0705394,0.110072,0.0450596,0.0801046,0.0447088,0.147319,268,0.0628759,0.099196,0.0801046,0.0447088,0.147319,3.2762,6.46229,268,0.98015,209,0,0.450627,0.724423
Data\ShipHull_0.vtk,CELL,benchmark_surface_trig,1,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,2,2,1,245.965,50,21.3493,0.0616811,0.0117291,0.190158,0,268,0,0.69366,0.4769,0.0429416,0.042016,0.69366,0.4769,0.0429416,0.042016,268,3,ANALYTIC:benchmark_surface_trig_exact_grad,268,3,268,268,0,4,0.0149254,,0,0,0,0,0,0,0.0470491,0.0603084,0.216026,2.14116,0.0250086,0.0281663,0.107058,0.0575258,0.021234,0.153377,264,0.0473254,0.0606338,0.0543197,0.0210634,0.148028,2.86111,5.676,268,0.996442,244,0,0.216026,1.34708,0,0,1,ANALYTIC:benchmark_surface_trig_exact_grad [intrinsic],268,3,268,268,0,4,0.0149254,,0,0,0,0,0,0,0.0429149,0.0563498,0.203094,2.14116,0.022811,0.0263175,0.107058,0.0505477,0.0180323,0.136697,264,0.0431309,0.0566374,0.0472576,0.0177616,0.119998,2.00522,2.93,268,0.996442,236,0,0.203094,1.34362
Data\ShipHull_0.vtk,CELL,benchmark_surface_vec_linear,3,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,2,2,1,245.965,50,21.3493,0.0616811,0.0117291,0.190158,0,268,0,0.9637,0.5555,0.0512512,0.050076,0.9637,0.5555,0.0512512,0.050076,268,9,ANALYTIC:benchmark_surface_vec_linear_exact_grad,268,9,804,804,0,0,0,,0,0,0,0,0,0,0.062382,0.108363,0.495619,0.634439,0.109845,0.170802,0.0317219,0.111632,0.0594569,0.290128,804,0.062382,0.108363,0.111632,0.0594569,0.290128,4.6667,12.3032,804,0.989564,146,1,0.495619,0.907184,0,0,1,ANALYTIC:benchmark_surface_vec_linear_exact_grad [intrinsic],268,9,804,804,0,0,0,,0,0,0,0,0,0,0.0531572,0.0897579,0.394289,0.634439,0.0936013,0.141476,0.0317219,0.0960018,0.0498727,0.247746,804,0.0531572,0.0897579,0.0960018,0.0498727,0.247746,3.20337,6.62224,804,0.989564,219,0,0.394289,0.587072
Data\ShipHull_0.vtk,CELL,benchmark_trig,1,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,2,2,1,245.965,50,21.3493,0.0616811,0.0117291,0.190158,0,268,0,0.83908,0.6919,0.0442104,0.043264,0.83908,0.6919,0.0442104,0.043264,268,3,ANALYTIC:benchmark_trig_exact_grad,268,3,268,268,0,0,0,,0,0,0,0,0,0,0.633501,0.656227,0.899464,2.30407,0.296386,0.284812,0.115204,0.342498,0.281981,0.561461,268,0.633501,0.656227,0.342498,0.281981,0.561461,19.6188,31.8264,268,0.908998,57,0,0.899464,0.915965,0,0,1,ANALYTIC:benchmark_trig_exact_grad [intrinsic],268,3,268,268,0,1,0.00373134,,0,0,0,0,0,0,0.13543,0.201983,0.501674,2.21727,0.0668434,0.0910956,0.110863,0.0930188,0.039128,0.247271,267,0.135841,0.202355,0.0924939,0.0390101,0.247932,3.79636,11.2114,268,0.980931,13,0,0.501674,3.06432
Data\ShipHull_0.vtk,CELL,benchmark_vec_linear,3,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,2,2,1,245.965,50,21.3493,0.0616811,0.0117291,0.190158,0,268,0,0.9063,0.4569,0.0507936,0.049348,0.9063,0.4569,0.0507936,0.049348,268,9,ANALYTIC:benchmark_vec_linear_exact_grad,268,9,804,804,0,0,0,,0,0,0,0,0,0,0.614732,0.701299,1.26982,1.10303,0.563494,0.635796,0.0551513,0.544202,0.491589,0.911232,804,0.614732,0.701299,0.544202,0.491589,0.911232,34.2953,63.3462,804,0.591669,223,1,1.26982,1.27279,0,0,1,ANALYTIC:benchmark_vec_linear_exact_grad [intrinsic],268,9,804,804,0,0,0,,0,0,0,0,0,0,0.13039,0.182393,0.515427,0.87342,0.155045,0.208826,0.043671,0.15796,0.110084,0.386711,804,0.13039,0.182393,0.15796,0.110084,0.386711,5.36619,14.6213,804,0.940371,143,1,0.515427,1.25539
