dataset,association,array,input_components,success,failure_reason,run_mode,result_source,reference_mode,method,reps,adaptive_neighborhood,adaptive_dimension,adaptive_regularization,min_neighbors,target_neighbors,max_neighbors,radius_scale,plane_eigen_ratio,line_eigen_ratio,lambda_amplify,vtk_requested_parallel_threads,vtk_backend_mode,geom_available,geom_topo_dim,geom_global_dim,geom_surface_like,geom_extent_x,geom_extent_y,geom_extent_z,geom_eigen_ratio21,geom_eigen_ratio31,geom_eigen_ratio32,geom_dim1_count,geom_dim2_count,geom_dim3_count,result_wall_avg_ms,result_wall_min_ms,result_gpu_avg_ms,result_gpu_min_ms,gl_wall_avg_ms,gl_wall_min_ms,gl_gpu_avg_ms,gl_gpu_min_ms,result_tuples,result_components,ambient_reference,ambient_compare_tuples,ambient_compare_components,ambient_raw_vecs,ambient_finite_vecs,ambient_nonfinite_vecs,ambient_low_ref_count,ambient_low_ref_ratio,ambient_vtk_backend,ambient_vtk_single_threads,ambient_vtk_parallel_threads,ambient_vtk_single_avg_ms,ambient_vtk_single_min_ms,ambient_vtk_parallel_avg_ms,ambient_vtk_parallel_min_ms,ambient_abs_mae,ambient_abs_rmse,ambient_abs_max,ambient_ref_rms,ambient_nmae,ambient_nrmse,ambient_softrel_tau,ambient_softrel_mean,ambient_softrel_median,ambient_softrel_p90,ambient_stable_vecs,ambient_stable_abs_mae,ambient_stable_abs_rmse,ambient_stable_softrel_mean,ambient_stable_softrel_median,ambient_stable_softrel_p90,ambient_angle_mean_deg,ambient_angle_p90_deg,ambient_angle_count,ambient_scale_bias,ambient_worst_tuple,ambient_worst_vector,ambient_worst_abs_err,ambient_worst_ref_norm,ambient_ref_time_avg_ms,ambient_ref_time_min_ms,has_intrinsic,intrinsic_reference,intrinsic_compare_tuples,intrinsic_compare_components,intrinsic_raw_vecs,intrinsic_finite_vecs,intrinsic_nonfinite_vecs,intrinsic_low_ref_count,intrinsic_low_ref_ratio,intrinsic_vtk_backend,intrinsic_vtk_single_threads,intrinsic_vtk_parallel_threads,intrinsic_vtk_single_avg_ms,intrinsic_vtk_single_min_ms,intrinsic_vtk_parallel_avg_ms,intrinsic_vtk_parallel_min_ms,intrinsic_abs_mae,intrinsic_abs_rmse,intrinsic_abs_max,intrinsic_ref_rms,intrinsic_nmae,intrinsic_nrmse,intrinsic_softrel_tau,intrinsic_softrel_mean,intrinsic_softrel_median,intrinsic_softrel_p90,intrinsic_stable_vecs,intrinsic_stable_abs_mae,intrinsic_stable_abs_rmse,intrinsic_stable_softrel_mean,intrinsic_stable_softrel_median,intrinsic_stable_softrel_p90,intrinsic_angle_mean_deg,intrinsic_angle_p90_deg,intrinsic_angle_count,intrinsic_scale_bias,intrinsic_worst_tuple,intrinsic_worst_vector,intrinsic_worst_abs_err,intrinsic_worst_ref_norm
Data\ShipHull_0.vtk,POINT,RF,3,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,2,2,1,250,50,26,0.0600776,0.0201144,0.334808,113,292,0,0.8218,0.517,0.106361,0.105196,0.8218,0.517,0.106361,0.105196,405,9,VTK,405,9,1215,1215,0,1178,0.969547,STDThread,1,16,4.61984,3.7601,11.1271,10.674,46.0722,686.952,16640.8,176504,0.00225171,0.00389198,8825.22,0.00115605,0,0,37,1430.07,3906.1,0.0285753,8.64677e-08,0.00721743,0.079871,0.225468,36,0.999453,169,0,16640.8,1.37787e+06,11.1271,10.674,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0
Data\ShipHull_0.vtk,POINT,benchmark_cubic,1,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,2,2,1,250,50,26,0.0600776,0.0201144,0.334808,113,292,0,0.63312,0.4488,0.087464,0.085436,0.63312,0.4488,0.087464,0.085436,405,3,ANALYTIC:benchmark_cubic_exact_grad,405,3,405,405,0,35,0.0864198,,0,0,0,0,0,0,0.0690157,0.123444,0.375434,0.181492,0.500355,0.680158,0.00907462,0.466516,0.316851,1,370,0.0752269,0.129144,0.475682,0.337712,1,18.5363,55.1323,292,0.502985,176,0,0.375434,0.375517,0,0,1,ANALYTIC:benchmark_cubic_exact_grad [intrinsic],405,3,405,405,0,54,0.133333,,0,0,0,0,0,0,0.0493425,0.101535,0.365056,0.158982,0.406248,0.638661,0.00794909,0.356372,0.114579,1,351,0.0566554,0.109063,0.3762,0.0761616,1,8.67678,16.1787,292,0.582117,173,0,0.365056,0.366397
Data\ShipHull_0.vtk,POINT,benchmark_gaussian,1,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,2,2,1,250,50,26,0.0600776,0.0201144,0.334808,113,292,0,0.53842,0.4008,0.0864864,0.084708,0.53842,0.4008,0.0864864,0.084708,405,3,ANALYTIC:benchmark_gaussian_exact_grad,405,3,405,405,0,0,0,,0,0,0,0,0,0,0.00424543,0.0048664,0.00986315,0.00760882,0.574884,0.639573,0.000380441,0.598145,0.512612,1,405,0.00424543,0.0048664,0.598145,0.512612,1,27.1757,50.9348,292,0.577963,63,0,0.00986315,0.00986315,0,0,1,ANALYTIC:benchmark_gaussian_exact_grad [intrinsic],405,3,405,405,0,5,0.0123457,,0,0,0,0,0,0,0.00238824,0.00381765,0.00956608,0.00684844,0.375532,0.557448,0.000342422,0.408548,0.157279,1,400,0.00241782,0.00384143,0.41285,0.165339,1,10.2594,19.4207,292,0.685777,63,0,0.00956608,0.00956608
Data\ShipHull_0.vtk,POINT,benchmark_linear,1,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,2,2,1,250,50,26,0.0600776,0.0201144,0.334808,113,292,0,0.53906,0.4093,0.0848224,0.083668,0.53906,0.4093,0.0848224,0.083668,405,3,ANALYTIC:benchmark_linear_exact_grad,405,3,405,405,0,0,0,,0,0,0,0,0,0,1.68732,1.81351,2.47487,2.47487,0.68178,0.732769,0.123744,0.68178,0.733002,1,405,1.68732,1.81351,0.68178,0.733002,1,34.3279,53.9129,292,0.439295,0,0,2.47487,2.47487,0,0,1,ANALYTIC:benchmark_linear_exact_grad [intrinsic],405,3,405,405,0,0,0,,0,0,0,0,0,0,0.487908,0.592727,1.25,1.68588,0.313872,0.351584,0.0842938,0.452552,0.257268,1,405,0.487908,0.592727,0.452552,0.257268,1,10.4521,28.5742,292,0.84331,148,0,1.25,1.46533
Data\ShipHull_0.vtk,POINT,benchmark_quadratic,1,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,2,2,1,250,50,26,0.0600776,0.0201144,0.334808,113,292,0,0.43088,0.3917,0.0844688,0.08268,0.43088,0.3917,0.0844688,0.08268,405,3,ANALYTIC:benchmark_quadratic_exact_grad,405,3,405,405,0,1,0.00246914,,0,0,0,0,0,0,0.262748,0.390703,1.0117,0.61319,0.486715,0.637164,0.0306595,0.485849,0.33957,1,404,0.263333,0.391184,0.484899,0.338449,1,17.0608,39.8774,292,0.570493,372,0,1.0117,1.02133,0,0,1,ANALYTIC:benchmark_quadratic_exact_grad [intrinsic],405,3,405,405,0,10,0.0246914,,0,0,0,0,0,0,0.186112,0.335198,0.973312,0.560277,0.378973,0.598271,0.0280139,0.362075,0.117761,1,395,0.190541,0.339408,0.361134,0.110353,1,6.61135,12.2238,292,0.634528,173,0,0.973312,1.0035
Data\ShipHull_0.vtk,POINT,benchmark_surface_linear,1,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,2,2,1,250,50,26,0.0600776,0.0201144,0.334808,113,292,0,0.71834,0.4658,0.0851968,0.084708,0.71834,0.4658,0.0851968,0.084708,405,3,ANALYTIC:benchmark_surface_linear_exact_grad,405,3,405,405,0,1,0.00246914,,0,0,0,0,0,0,0.361368,0.510541,0.900081,0.895081,0.407644,0.570386,0.044754,0.453627,0.185586,1,404,0.361067,0.510608,0.428047,0.185556,1,11.0907,26.3732,292,0.692391,0,0,0.900081,0.900081,0,0,1,ANALYTIC:benchmark_surface_linear_exact_grad [intrinsic],405,3,405,405,0,1,0.00246914,,0,0,0,0,0,0,0.312858,0.493674,0.900081,0.895081,0.352922,0.551541,0.044754,0.36066,0.0854324,1,404,0.313605,0.494284,0.360942,0.0849802,1,5.20931,14.2839,292,0.692391,0,0,0.900081,0.900081
Data\ShipHull_0.vtk,POINT,benchmark_surface_trig,1,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,2,2,1,250,50,26,0.0600776,0.0201144,0.334808,113,292,0,0.47622,0.4428,0.0844272,0.084032,0.47622,0.4428,0.0844272,0.084032,405,3,ANALYTIC:benchmark_surface_trig_exact_grad,405,3,405,405,0,8,0.0197531,,0,0,0,0,0,0,0.654573,1.1764,3.14161,2.14805,0.343765,0.547662,0.107402,0.374364,0.120285,1,397,0.666646,1.18815,0.371512,0.117801,1,7.14338,21.3716,292,0.711694,17,0,3.14161,3.14161,0,0,1,ANALYTIC:benchmark_surface_trig_exact_grad [intrinsic],405,3,405,405,0,8,0.0197531,,0,0,0,0,0,0,0.580545,1.14886,3.14161,2.14805,0.304888,0.534841,0.107402,0.321255,0.0301566,1,397,0.591815,1.16037,0.323742,0.0301566,1,2.55427,5.15025,292,0.711694,17,0,3.14161,3.14161
Data\ShipHull_0.vtk,POINT,benchmark_surface_vec_linear,3,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,2,2,1,250,50,26,0.0600776,0.0201144,0.334808,113,292,0,0.60228,0.3876,0.104156,0.100256,0.60228,0.3876,0.104156,0.100256,405,9,ANALYTIC:benchmark_surface_vec_linear_exact_grad,405,9,1215,1215,0,0,0,,0,0,0,0,0,0,0.221339,0.323647,0.899908,0.60267,0.413114,0.537022,0.0301335,0.494799,0.280734,1,1215,0.221339,0.323647,0.494799,0.280734,1,14.3988,34.0659,876,0.732231,150,1,0.899908,0.948683,0,0,1,ANALYTIC:benchmark_surface_vec_linear_exact_grad [intrinsic],405,9,1215,1215,0,0,0,,0,0,0,0,0,0,0.184148,0.304537,0.899907,0.60267,0.343698,0.505312,0.0301335,0.410197,0.161251,1,1215,0.184148,0.304537,0.410197,0.161251,1,7.9195,17.5943,876,0.732231,148,1,0.899907,0.948679
Data\ShipHull_0.vtk,POINT,benchmark_trig,1,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,2,2,1,250,50,26,0.0600776,0.0201144,0.334808,113,292,0,0.49198,0.4452,0.0853008,0.083824,0.49198,0.4452,0.0853008,0.083824,405,3,ANALYTIC:benchmark_trig_exact_grad,405,3,405,405,0,0,0,,0,0,0,0,0,0,1.00631,1.32505,3.259,2.32218,0.465683,0.570606,0.116109,0.488375,0.317931,1,405,1.00631,1.32505,0.488375,0.317931,1,16.873,27.6799,292,0.669949,16,0,3.259,3.259,0,0,1,ANALYTIC:benchmark_trig_exact_grad [intrinsic],405,3,405,405,0,0,0,,0,0,0,0,0,0,0.642942,1.15855,3.14159,2.21097,0.319539,0.524,0.110548,0.353083,0.108846,1,405,0.642942,1.15855,0.353083,0.108846,1,4.57428,13.1951,292,0.721906,16,0,3.14159,3.14159
Data\ShipHull_0.vtk,POINT,benchmark_vec_linear,3,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,2,2,1,250,50,26,0.0600776,0.0201144,0.334808,113,292,0,0.41378,0.3992,0.106007,0.104936,0.41378,0.3992,0.106007,0.104936,405,9,ANALYTIC:benchmark_vec_linear_exact_grad,405,9,1215,1215,0,0,0,,0,0,0,0,0,0,0.709199,0.802427,1.27279,1.10303,0.650087,0.727478,0.0551513,0.636564,0.677706,1,1215,0.709199,0.802427,0.636564,0.677706,1,30.6969,59.7962,876,0.448672,0,1,1.27279,1.27279,0,0,1,ANALYTIC:benchmark_vec_linear_exact_grad [intrinsic],405,9,1215,1215,0,1,0.000823045,,0,0,0,0,0,0,0.257394,0.355409,1.1,0.795313,0.346712,0.446879,0.0397657,0.458354,0.229165,1,1214,0.257513,0.35554,0.456397,0.228688,1,10.7714,24.0401,876,0.779512,111,1,1.1,1.16781
