dataset,association,array,input_components,success,failure_reason,run_mode,reference_mode,method,reps,adaptive_neighborhood,adaptive_dimension,adaptive_regularization,min_neighbors,target_neighbors,max_neighbors,radius_scale,plane_eigen_ratio,line_eigen_ratio,lambda_amplify,geom_available,geom_topo_dim,geom_global_dim,geom_surface_like,geom_extent_x,geom_extent_y,geom_extent_z,geom_eigen_ratio21,geom_eigen_ratio31,geom_eigen_ratio32,geom_dim1_count,geom_dim2_count,geom_dim3_count,gl_wall_avg_ms,gl_wall_min_ms,gl_gpu_avg_ms,gl_gpu_min_ms,result_tuples,result_components,ambient_reference,ambient_compare_tuples,ambient_compare_components,ambient_raw_vecs,ambient_finite_vecs,ambient_nonfinite_vecs,ambient_low_ref_count,ambient_low_ref_ratio,ambient_abs_mae,ambient_abs_rmse,ambient_abs_max,ambient_ref_rms,ambient_nmae,ambient_nrmse,ambient_softrel_tau,ambient_softrel_mean,ambient_softrel_median,ambient_softrel_p90,ambient_stable_vecs,ambient_stable_abs_mae,ambient_stable_abs_rmse,ambient_stable_softrel_mean,ambient_stable_softrel_median,ambient_stable_softrel_p90,ambient_angle_mean_deg,ambient_angle_p90_deg,ambient_angle_count,ambient_scale_bias,ambient_worst_tuple,ambient_worst_vector,ambient_worst_abs_err,ambient_worst_ref_norm,ambient_ref_time_avg_ms,ambient_ref_time_min_ms,has_intrinsic,intrinsic_reference,intrinsic_compare_tuples,intrinsic_compare_components,intrinsic_raw_vecs,intrinsic_finite_vecs,intrinsic_nonfinite_vecs,intrinsic_low_ref_count,intrinsic_low_ref_ratio,intrinsic_abs_mae,intrinsic_abs_rmse,intrinsic_abs_max,intrinsic_ref_rms,intrinsic_nmae,intrinsic_nrmse,intrinsic_softrel_tau,intrinsic_softrel_mean,intrinsic_softrel_median,intrinsic_softrel_p90,intrinsic_stable_vecs,intrinsic_stable_abs_mae,intrinsic_stable_abs_rmse,intrinsic_stable_softrel_mean,intrinsic_stable_softrel_median,intrinsic_stable_softrel_p90,intrinsic_angle_mean_deg,intrinsic_angle_p90_deg,intrinsic_angle_count,intrinsic_scale_bias,intrinsic_worst_tuple,intrinsic_worst_vector,intrinsic_worst_abs_err,intrinsic_worst_ref_norm
Data\notch_stress.vtk,POINT,Nodal Stress,6,1,,fields,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,1,3,2,1,0.4,0.1,0.01,0.0600758,0.00207926,0.0346107,115,4075,8527,155.099,3.457,2.00819,1.9733,12717,18,VTK,12717,18,76302,76302,0,47348,0.620534,8.1947e+07,2.23544e+08,3.87093e+09,1.50631e+08,1.44312,1.48405,7.53157e+06,1.15526,0.254671,2.29968,28954,2.06462e+08,3.61663e+08,1.78418,0.952756,3.65401,50.5243,94.6091,76046,0.117643,6926,0,3.87093e+09,1.14764e+09,266.935,265.527,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0
Data\notch_stress.vtk,POINT,Nodal Stress-0,1,1,,fields,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,1,3,2,1,0.4,0.1,0.01,0.0600758,0.00207926,0.0346107,115,4075,8527,1.5367,1.3702,0.34139,0.339664,12717,3,VTK,12717,3,12717,12717,0,4105,0.322796,2.81776e+08,4.70742e+08,3.87093e+09,2.68636e+08,1.93704,1.75234,1.34318e+07,3.55748,1.80119,9.02441,8612,3.86051e+08,5.69181e+08,3.01703,1.3661,6.81427,73.9881,118.595,12716,0.100224,6926,0,3.87093e+09,1.14764e+09,116.067,114.829,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0
Data\notch_stress.vtk,POINT,Nodal Stress-normed,1,1,,fields,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,1,3,2,1,0.4,0.1,0.01,0.0600758,0.00207926,0.0346107,115,4075,8527,1.46478,1.4148,0.346726,0.33956,12717,3,VTK,12717,3,12717,0,12717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0,115.811,115.327,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0
Data\notch_stress.vtk,POINT,benchmark_cubic,1,1,,fields,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,1,3,2,1,0.4,0.1,0.01,0.0600758,0.00207926,0.0346107,115,4075,8527,1.43116,1.3074,0.345103,0.340652,12717,3,ANALYTIC:benchmark_cubic_exact_grad,12717,3,12717,12717,0,6776,0.53283,0.000392886,0.000806622,0.00887362,0.0205351,0.0366004,0.0392802,0.00102675,0.0488204,0.0290133,0.118265,5941,0.000792051,0.00117756,0.0568365,0.038234,0.134596,12.7282,52.2546,12717,0.993924,7138,0,0.00887362,0.0600319,0,0,1,ANALYTIC:benchmark_cubic_exact_grad [intrinsic],12717,3,12717,12717,0,6779,0.533066,0.000375702,0.000798948,0.00887362,0.0205346,0.0350486,0.0389074,0.00102673,0.0344342,0.0147764,0.0910516,5938,0.000786519,0.00116886,0.0561198,0.038149,0.134425,6.30076,14.3829,12717,0.99395,7138,0,0.00887362,0.0600319
Data\notch_stress.vtk,POINT,benchmark_gaussian,1,1,,fields,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,1,3,2,1,0.4,0.1,0.01,0.0600758,0.00207926,0.0346107,115,4075,8527,1.46616,1.3206,0.344698,0.342004,12717,3,ANALYTIC:benchmark_gaussian_exact_grad,12717,3,12717,12717,0,139,0.0109303,0.0598443,0.0754082,0.503669,1.13543,0.0735549,0.0664137,0.0567716,0.192805,0.101985,0.581013,12578,0.0603153,0.0757891,0.191584,0.0994187,0.579791,10.9532,32.7675,12717,0.99267,6653,0,0.503669,0.505964,0,0,1,ANALYTIC:benchmark_gaussian_exact_grad [intrinsic],12717,3,12717,12717,0,469,0.0368798,0.0486354,0.062804,0.261487,1.13428,0.0604563,0.0553689,0.0567142,0.134256,0.0754026,0.354095,12248,0.0502022,0.0639155,0.134186,0.0766486,0.354132,5.99543,14.515,12654,0.994022,6324,0,0.261487,2.35812
Data\notch_stress.vtk,POINT,benchmark_linear,1,1,,fields,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,1,3,2,1,0.4,0.1,0.01,0.0600758,0.00207926,0.0346107,115,4075,8527,1.45096,1.2958,0.34761,0.340288,12717,3,ANALYTIC:benchmark_linear_exact_grad,12717,3,12717,12717,0,0,0,0.26912,0.587197,2.38707,2.47487,0.108741,0.237263,0.123744,0.108741,0.000214983,0.518033,12717,0.26912,0.587197,0.108741,0.000214983,0.518033,6.59765,31.1998,12717,0.943481,7344,0,2.38707,2.47487,0,0,1,ANALYTIC:benchmark_linear_exact_grad [intrinsic],12717,3,12717,12717,0,0,0,0.0162969,0.127615,2.36549,2.36969,0.00690512,0.0538529,0.118485,0.00714744,0.000203442,0.00594998,12717,0.0162969,0.127615,0.00714744,0.000203442,0.00594998,0.414871,0.284811,12717,0.997,7524,0,2.36549,2.47487
Data\notch_stress.vtk,POINT,benchmark_quadratic,1,1,,fields,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,1,3,2,1,0.4,0.1,0.01,0.0600758,0.00207926,0.0346107,115,4075,8527,1.6245,1.5561,0.346403,0.339508,12717,3,ANALYTIC:benchmark_quadratic_exact_grad,12717,3,12717,12717,0,947,0.0744672,0.00468177,0.00731479,0.0956229,0.170596,0.0413221,0.042878,0.00852978,0.13778,0.0328846,0.530922,11770,0.00487257,0.00754642,0.127072,0.0308458,0.480345,9.06672,35.5573,12717,0.995942,6270,0,0.0956229,0.398236,0,0,1,ANALYTIC:benchmark_quadratic_exact_grad [intrinsic],12717,3,12717,12717,0,1776,0.139656,0.0031498,0.0054648,0.0956229,0.170484,0.0280564,0.0320546,0.00852422,0.0461691,0.0282103,0.109341,10941,0.00354583,0.00587604,0.0401415,0.0261307,0.0851859,2.53751,5.71425,12717,0.996755,6270,0,0.0956229,0.398236
Data\notch_stress.vtk,POINT,benchmark_trig,1,1,,fields,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,1,3,2,1,0.4,0.1,0.01,0.0600758,0.00207926,0.0346107,115,4075,8527,1.83938,1.6556,0.342701,0.338884,12717,3,ANALYTIC:benchmark_trig_exact_grad,12717,3,12717,12717,0,0,0,0.297192,0.737177,3.18569,3.14071,0.094764,0.234717,0.157035,0.0921671,0.00173149,0.382889,12717,0.297192,0.737177,0.0921671,0.00173149,0.382889,5.84623,22.512,12717,0.944941,5094,0,3.18569,3.23528,0,0,1,ANALYTIC:benchmark_trig_exact_grad [intrinsic],12717,3,12717,12717,0,0,0,0.0221231,0.141827,3.11301,3.02826,0.00737422,0.0468345,0.151413,0.00841935,0.00131153,0.0108492,12717,0.0221231,0.141827,0.00841935,0.00131153,0.0108492,0.36018,0.464276,12717,0.997065,7846,0,3.11301,3.23762
Data\notch_stress.vtk,POINT,benchmark_vec_linear,3,1,,fields,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,1,3,2,1,0.4,0.1,0.01,0.0600758,0.00207926,0.0346107,115,4075,8527,2.43448,2.1485,0.997682,0.97734,12717,9,ANALYTIC:benchmark_vec_linear_exact_grad,12717,9,38151,38151,0,0,0,0.145972,0.340105,1.21549,1.10303,0.133805,0.308338,0.0551513,0.129836,0.000190873,0.592988,38151,0.145972,0.340105,0.129836,0.000190873,0.592988,8.4133,36.3668,38151,0.904694,6384,1,1.21549,1.27279,0,0,1,ANALYTIC:benchmark_vec_linear_exact_grad [intrinsic],12717,9,38151,38151,0,0,0,0.00755933,0.0551534,1.16567,1.02638,0.00753698,0.0537356,0.0513192,0.00937881,0.000174406,0.00840531,38151,0.00755933,0.0551534,0.00937881,0.000174406,0.00840531,0.464685,0.283443,38151,0.997009,11479,1,1.16567,1.26838
Data\notch_stress.vtk,POINT,benchmark_vec_poly,3,1,,fields,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,1,3,2,1,0.4,0.1,0.01,0.0600758,0.00207926,0.0346107,115,4075,8527,2.41196,2.1088,0.989955,0.98098,12717,9,ANALYTIC:benchmark_vec_poly_exact_grad,12717,9,38151,38151,0,6431,0.168567,0.00288097,0.0051256,0.0777058,0.100384,0.0573835,0.0510601,0.00501918,0.176715,0.0568719,0.597944,31720,0.00321014,0.00556155,0.161752,0.0466095,0.529434,11.165,42.0067,38151,0.995249,6353,2,0.0777058,0.0800238,0,0,1,ANALYTIC:benchmark_vec_poly_exact_grad [intrinsic],12717,9,38151,38151,0,8632,0.226259,0.00194069,0.00351807,0.0777058,0.100261,0.0393503,0.035089,0.00501307,0.100291,0.0380039,0.313216,29519,0.00230976,0.00393842,0.0900363,0.0355285,0.282962,4.84863,9.06371,38151,0.996617,6353,2,0.0777058,0.0800238
