dataset,association,mode,clean_array,input_array,base_array,fused_array,smooth_arrays,detail_arrays,noise,export_success,exported_vtk,components,success,failure_reason,run_mode,reps,levels,iterations,store_intermediate,spatial_sigma_factor,range_sigma_factor,level_scale,edge_sigma_factor,detail_gain0,detail_gain1,detail_gain2,sigma_factor,corr_length_factor,corr_iters,corr_alpha,impulse_ratio,impulse_scale,seed,wall_avg_ms,wall_min_ms,gpu_avg_ms,gpu_min_ms,injected_noise_std,injected_noise_neighbor_corr,injected_noise_mean_neighbor_dist,injected_noise_corr_length,has_clean_reference,clean_std,input_std,fused_std,clean_roughness,input_roughness,fused_roughness,input_to_fused_mean_abs_delta,input_error_samples,input_error_finite,input_error_nonfinite,input_mae,input_rmse,input_max_abs,input_signal_rms,input_nmae,input_nrmse,fused_error_samples,fused_error_finite,fused_error_nonfinite,fused_mae,fused_rmse,fused_max_abs,fused_signal_rms,fused_nmae,fused_nrmse,mae_improvement_ratio,rmse_improvement_ratio,roughness_ratio
Data\ShipHull_0.vtk,CELL,synthetic,ms_clean_trig,ms_clean_trig_noisy_gaussian,ms_clean_trig_noisy_gaussian_ms_s3_C,ms_clean_trig_noisy_gaussian_ms_fused_C,ms_clean_trig_noisy_gaussian_ms_s1_C|ms_clean_trig_noisy_gaussian_ms_s2_C|ms_clean_trig_noisy_gaussian_ms_s3_C,ms_clean_trig_noisy_gaussian_ms_d0_C|ms_clean_trig_noisy_gaussian_ms_d1_C|ms_clean_trig_noisy_gaussian_ms_d2_C,gaussian,1,results\multiscaleShipHull_0cell__1__ms_clean_trig_gaussian.vtk,1,1,,synthetic,3,3,1,1,1.5,0.5,1.8,0.35,1,0.75,0.5,0.35,1,4,0.8,0.04,2.5,1337,1.77593,1.6435,0.0476147,0.04498,0.158641,-0.000589098,0,0,1,0.44689,0.467356,0.441162,0.0326621,0.18146,0.0603368,0.0881516,268,268,0,0.130219,0.159188,0.404759,0.533825,0.295502,0.298202,268,268,0,0.053578,0.0656747,0.176192,0.533825,0.121583,0.123027,0.411444,0.412562,0.332507
Data\ShipHull_0.vtk,CELL,synthetic,ms_clean_trig,ms_clean_trig_noisy_grf,ms_clean_trig_noisy_grf_ms_s3_C,ms_clean_trig_noisy_grf_ms_fused_C,ms_clean_trig_noisy_grf_ms_s1_C|ms_clean_trig_noisy_grf_ms_s2_C|ms_clean_trig_noisy_grf_ms_s3_C,ms_clean_trig_noisy_grf_ms_d0_C|ms_clean_trig_noisy_grf_ms_d1_C|ms_clean_trig_noisy_grf_ms_d2_C,grf,1,results\multiscaleShipHull_0cell__2__ms_clean_trig_grf.vtk,1,1,,synthetic,3,3,1,1,1.5,0.5,1.8,0.35,1,0.75,0.5,0.35,1,4,0.8,0.04,2.5,1337,1.59613,1.1694,0.0475453,0.046332,0.156412,0.886228,9.1631,9.1631,1,0.44689,0.397621,0.387702,0.0326621,0.063463,0.0444754,0.0286312,268,268,0,0.128962,0.156412,0.370401,0.533825,0.29265,0.293002,268,268,0,0.116959,0.13832,0.292833,0.533825,0.265411,0.259112,0.906923,0.884335,0.700808
Data\ShipHull_0.vtk,CELL,synthetic,ms_clean_trig,ms_clean_trig_noisy_impulse,ms_clean_trig_noisy_impulse_ms_s3_C,ms_clean_trig_noisy_impulse_ms_fused_C,ms_clean_trig_noisy_impulse_ms_s1_C|ms_clean_trig_noisy_impulse_ms_s2_C|ms_clean_trig_noisy_impulse_ms_s3_C,ms_clean_trig_noisy_impulse_ms_d0_C|ms_clean_trig_noisy_impulse_ms_d1_C|ms_clean_trig_noisy_impulse_ms_d2_C,impulse,1,results\multiscaleShipHull_0cell__3__ms_clean_trig_impulse.vtk,1,1,,synthetic,3,3,1,1,1.5,0.5,1.8,0.35,1,0.75,0.5,0.35,1,4,0.8,0.04,2.5,1337,1.79707,1.2407,0.0473547,0.046384,0.225999,0.0454128,0,0,1,0.44689,0.502166,0.498861,0.0326621,0.117769,0.114338,0.00772483,268,268,0,0.0458563,0.226344,1.11723,0.533825,0.10406,0.424005,268,268,0,0.0534834,0.226423,1.12176,0.533825,0.121368,0.424152,1.16633,1.00035,0.970861
Data\ShipHull_0.vtk,CELL,synthetic,ms_clean_trig,ms_clean_trig_noisy_mixed,ms_clean_trig_noisy_mixed_ms_s3_C,ms_clean_trig_noisy_mixed_ms_fused_C,ms_clean_trig_noisy_mixed_ms_s1_C|ms_clean_trig_noisy_mixed_ms_s2_C|ms_clean_trig_noisy_mixed_ms_s3_C,ms_clean_trig_noisy_mixed_ms_d0_C|ms_clean_trig_noisy_mixed_ms_d1_C|ms_clean_trig_noisy_mixed_ms_d2_C,mixed,1,results\multiscaleShipHull_0cell__4__ms_clean_trig_mixed.vtk,1,1,,synthetic,3,3,1,1,1.5,0.5,1.8,0.35,1,0.75,0.5,0.35,1,4,0.8,0.04,2.5,1337,1.49703,1.34,0.0476667,0.046228,0.260534,-0.0342512,0,0,1,0.44689,0.524723,0.501171,0.0326621,0.247274,0.13592,0.0819851,268,268,0,0.160897,0.261188,1.29519,0.533825,0.365119,0.489276,268,268,0,0.090088,0.215973,1.29512,0.533825,0.204434,0.404577,0.55991,0.826889,0.549674
Data\ShipHull_0.vtk,CELL,synthetic,ms_clean_gaussian,ms_clean_gaussian_noisy_gaussian,ms_clean_gaussian_noisy_gaussian_ms_s3_C,ms_clean_gaussian_noisy_gaussian_ms_fused_C,ms_clean_gaussian_noisy_gaussian_ms_s1_C|ms_clean_gaussian_noisy_gaussian_ms_s2_C|ms_clean_gaussian_noisy_gaussian_ms_s3_C,ms_clean_gaussian_noisy_gaussian_ms_d0_C|ms_clean_gaussian_noisy_gaussian_ms_d1_C|ms_clean_gaussian_noisy_gaussian_ms_d2_C,gaussian,1,results\multiscaleShipHull_0cell__5__ms_clean_gaussian_gaussian.vtk,1,1,,synthetic,3,3,1,1,1.5,0.5,1.8,0.35,1,0.75,0.5,0.35,1,4,0.8,0.04,2.5,1337,1.65257,1.2181,0.0483427,0.047892,0.103637,0.0005193,0,0,1,0.30929,0.330953,0.309988,0.0423425,0.126778,0.0596045,0.0552493,268,268,0,0.083506,0.103637,0.285645,0.521014,0.199165,0.198914,268,268,0,0.0344461,0.0438583,0.147274,0.521014,0.0821553,0.0841786,0.412498,0.42319,0.470148
Data\ShipHull_0.vtk,CELL,synthetic,ms_clean_gaussian,ms_clean_gaussian_noisy_grf,ms_clean_gaussian_noisy_grf_ms_s3_C,ms_clean_gaussian_noisy_grf_ms_fused_C,ms_clean_gaussian_noisy_grf_ms_s1_C|ms_clean_gaussian_noisy_grf_ms_s2_C|ms_clean_gaussian_noisy_grf_ms_s3_C,ms_clean_gaussian_noisy_grf_ms_d0_C|ms_clean_gaussian_noisy_grf_ms_d1_C|ms_clean_gaussian_noisy_grf_ms_d2_C,grf,1,results\multiscaleShipHull_0cell__6__ms_clean_gaussian_grf.vtk,1,1,,synthetic,3,3,1,1,1.5,0.5,1.8,0.35,1,0.75,0.5,0.35,1,4,0.8,0.04,2.5,1337,1.6111,1.3722,0.0490707,0.047788,0.108251,0.865745,9.1631,9.1631,1,0.30929,0.314523,0.300776,0.0423425,0.0626116,0.050085,0.0214591,268,268,0,0.0902562,0.108251,0.239371,0.521014,0.215265,0.207771,268,268,0,0.0796076,0.0934143,0.192238,0.521014,0.189867,0.179293,0.882018,0.862938,0.799932
Data\ShipHull_0.vtk,CELL,synthetic,ms_clean_gaussian,ms_clean_gaussian_noisy_impulse,ms_clean_gaussian_noisy_impulse_ms_s3_C,ms_clean_gaussian_noisy_impulse_ms_fused_C,ms_clean_gaussian_noisy_impulse_ms_s1_C|ms_clean_gaussian_noisy_impulse_ms_s2_C|ms_clean_gaussian_noisy_impulse_ms_s3_C,ms_clean_gaussian_noisy_impulse_ms_d0_C|ms_clean_gaussian_noisy_impulse_ms_d1_C|ms_clean_gaussian_noisy_impulse_ms_d2_C,impulse,1,results\multiscaleShipHull_0cell__7__ms_clean_gaussian_impulse.vtk,1,1,,synthetic,3,3,1,1,1.5,0.5,1.8,0.35,1,0.75,0.5,0.35,1,4,0.8,0.04,2.5,1337,1.624,1.3644,0.048568,0.048256,0.148915,-0.00441453,0,0,1,0.30929,0.34888,0.339801,0.0423425,0.0963371,0.0934335,0.0108424,268,268,0,0.0288517,0.149361,0.773225,0.521014,0.0688124,0.286674,268,268,0,0.0396143,0.149827,0.773035,0.521014,0.0944816,0.287567,1.37303,1.00311,0.96986
Data\ShipHull_0.vtk,CELL,synthetic,ms_clean_gaussian,ms_clean_gaussian_noisy_mixed,ms_clean_gaussian_noisy_mixed_ms_s3_C,ms_clean_gaussian_noisy_mixed_ms_fused_C,ms_clean_gaussian_noisy_mixed_ms_s1_C|ms_clean_gaussian_noisy_mixed_ms_s2_C|ms_clean_gaussian_noisy_mixed_ms_s3_C,ms_clean_gaussian_noisy_mixed_ms_d0_C|ms_clean_gaussian_noisy_mixed_ms_d1_C|ms_clean_gaussian_noisy_mixed_ms_d2_C,mixed,1,results\multiscaleShipHull_0cell__8__ms_clean_gaussian_mixed.vtk,1,1,,synthetic,3,3,1,1,1.5,0.5,1.8,0.35,1,0.75,0.5,0.35,1,4,0.8,0.04,2.5,1337,1.63407,1.1651,0.0480307,0.046904,0.205761,0.0133189,0,0,1,0.30929,0.377499,0.357238,0.0423425,0.192523,0.127394,0.0558409,268,268,0,0.121419,0.206574,0.983324,0.521014,0.289588,0.396485,268,268,0,0.0749141,0.181098,0.982794,0.521014,0.178673,0.347587,0.616991,0.876672,0.66171
Data\ShipHull_0.vtk,CELL,synthetic,ms_clean_poly,ms_clean_poly_noisy_gaussian,ms_clean_poly_noisy_gaussian_ms_s3_C,ms_clean_poly_noisy_gaussian_ms_fused_C,ms_clean_poly_noisy_gaussian_ms_s1_C|ms_clean_poly_noisy_gaussian_ms_s2_C|ms_clean_poly_noisy_gaussian_ms_s3_C,ms_clean_poly_noisy_gaussian_ms_d0_C|ms_clean_poly_noisy_gaussian_ms_d1_C|ms_clean_poly_noisy_gaussian_ms_d2_C,gaussian,1,results\multiscaleShipHull_0cell__9__ms_clean_poly_gaussian.vtk,1,1,,synthetic,3,3,1,1,1.5,0.5,1.8,0.35,1,0.75,0.5,0.35,1,4,0.8,0.04,2.5,1337,1.42427,1.1947,0.0485507,0.048204,0.0690963,-0.0533896,0,0,1,0.196863,0.20487,0.192704,0.0143374,0.0840681,0.0307071,0.0374408,268,268,0,0.05624,0.0691444,0.187921,0.199913,0.314939,0.345873,268,268,0,0.0229854,0.0287122,0.0832525,0.199913,0.128716,0.143623,0.408702,0.415249,0.365264
Data\ShipHull_0.vtk,CELL,synthetic,ms_clean_poly,ms_clean_poly_noisy_grf,ms_clean_poly_noisy_grf_ms_s3_C,ms_clean_poly_noisy_grf_ms_fused_C,ms_clean_poly_noisy_grf_ms_s1_C|ms_clean_poly_noisy_grf_ms_s2_C|ms_clean_poly_noisy_grf_ms_s3_C,ms_clean_poly_noisy_grf_ms_d0_C|ms_clean_poly_noisy_grf_ms_d1_C|ms_clean_poly_noisy_grf_ms_d2_C,grf,1,results\multiscaleShipHull_0cell__10__ms_clean_poly_grf.vtk,1,1,,synthetic,3,3,1,1,1.5,0.5,1.8,0.35,1,0.75,0.5,0.35,1,4,0.8,0.04,2.5,1337,1.44447,1.2427,0.0488973,0.04784,0.0689022,0.845371,9.1631,9.1631,1,0.196863,0.213463,0.207407,0.0143374,0.0356732,0.0255934,0.0155539,268,268,0,0.052553,0.0689022,0.201587,0.199913,0.294292,0.344661,268,268,0,0.042691,0.0551542,0.150521,0.199913,0.239066,0.275891,0.812341,0.80047,0.717439
