dataset,association,mode,clean_array,input_array,base_array,fused_array,smooth_arrays,detail_arrays,noise,export_success,exported_vtk,components,success,failure_reason,run_mode,reps,levels,iterations,store_intermediate,spatial_sigma_factor,range_sigma_factor,level_scale,edge_sigma_factor,detail_gain0,detail_gain1,detail_gain2,sigma_factor,corr_length_factor,corr_iters,corr_alpha,impulse_ratio,impulse_scale,seed,wall_avg_ms,wall_min_ms,gpu_avg_ms,gpu_min_ms,injected_noise_std,injected_noise_neighbor_corr,injected_noise_mean_neighbor_dist,injected_noise_corr_length,has_clean_reference,clean_std,input_std,fused_std,clean_roughness,input_roughness,fused_roughness,input_to_fused_mean_abs_delta,input_error_samples,input_error_finite,input_error_nonfinite,input_mae,input_rmse,input_max_abs,input_signal_rms,input_nmae,input_nrmse,fused_error_samples,fused_error_finite,fused_error_nonfinite,fused_mae,fused_rmse,fused_max_abs,fused_signal_rms,fused_nmae,fused_nrmse,mae_improvement_ratio,rmse_improvement_ratio,roughness_ratio
Data\ShipHull_0.vtk,POINT,synthetic,ms_clean_trig,ms_clean_trig_noisy_gaussian,ms_clean_trig_noisy_gaussian_ms_s3_P,ms_clean_trig_noisy_gaussian_ms_fused_P,ms_clean_trig_noisy_gaussian_ms_s1_P|ms_clean_trig_noisy_gaussian_ms_s2_P|ms_clean_trig_noisy_gaussian_ms_s3_P,ms_clean_trig_noisy_gaussian_ms_d0_P|ms_clean_trig_noisy_gaussian_ms_d1_P|ms_clean_trig_noisy_gaussian_ms_d2_P,gaussian,1,results\multiscaleShipHull_0point__1__ms_clean_trig_gaussian.vtk,1,1,,synthetic,3,3,1,1,1.5,0.5,1.8,0.35,1,0.75,0.5,0.35,1,4,0.8,0.04,2.5,1337,2.2234,1.9711,0.0702347,0.068796,0.154233,0.0118782,0,0,1,0.439732,0.47731,0.456378,0.040285,0.182107,0.0666357,0.0667371,405,405,0,0.125164,0.154736,0.4744,0.523718,0.290997,0.295457,405,405,0,0.0652738,0.0926029,0.398276,0.523718,0.151757,0.176818,0.521508,0.598456,0.365916
Data\ShipHull_0.vtk,POINT,synthetic,ms_clean_trig,ms_clean_trig_noisy_grf,ms_clean_trig_noisy_grf_ms_s3_P,ms_clean_trig_noisy_grf_ms_fused_P,ms_clean_trig_noisy_grf_ms_s1_P|ms_clean_trig_noisy_grf_ms_s2_P|ms_clean_trig_noisy_grf_ms_s3_P,ms_clean_trig_noisy_grf_ms_d0_P|ms_clean_trig_noisy_grf_ms_d1_P|ms_clean_trig_noisy_grf_ms_d2_P,grf,1,results\multiscaleShipHull_0point__2__ms_clean_trig_grf.vtk,1,1,,synthetic,3,3,1,1,1.5,0.5,1.8,0.35,1,0.75,0.5,0.35,1,4,0.8,0.04,2.5,1337,1.5021,1.3103,0.0697667,0.068848,0.153906,0.676424,12.7515,12.7515,1,0.439732,0.447419,0.441772,0.040285,0.0520454,0.0444524,0.016563,405,405,0,0.0982587,0.153906,0.741315,0.523718,0.228445,0.293872,405,405,0,0.0938884,0.151599,0.741315,0.523718,0.218284,0.289467,0.955523,0.985008,0.854107
Data\ShipHull_0.vtk,POINT,synthetic,ms_clean_trig,ms_clean_trig_noisy_impulse,ms_clean_trig_noisy_impulse_ms_s3_P,ms_clean_trig_noisy_impulse_ms_fused_P,ms_clean_trig_noisy_impulse_ms_s1_P|ms_clean_trig_noisy_impulse_ms_s2_P|ms_clean_trig_noisy_impulse_ms_s3_P,ms_clean_trig_noisy_impulse_ms_d0_P|ms_clean_trig_noisy_impulse_ms_d1_P|ms_clean_trig_noisy_impulse_ms_d2_P,impulse,1,results\multiscaleShipHull_0point__3__ms_clean_trig_impulse.vtk,1,1,,synthetic,3,3,1,1,1.5,0.5,1.8,0.35,1,0.75,0.5,0.35,1,4,0.8,0.04,2.5,1337,1.38723,1.3029,0.0694547,0.068536,0.250196,-0.00339339,0,0,1,0.439732,0.509122,0.506589,0.040285,0.157905,0.154389,0.00945635,405,405,0,0.0570023,0.250329,1.09933,0.523718,0.132527,0.477983,405,405,0,0.0659573,0.25114,1.1491,0.523718,0.153346,0.479532,1.1571,1.00324,0.97773
Data\ShipHull_0.vtk,POINT,synthetic,ms_clean_trig,ms_clean_trig_noisy_mixed,ms_clean_trig_noisy_mixed_ms_s3_P,ms_clean_trig_noisy_mixed_ms_fused_P,ms_clean_trig_noisy_mixed_ms_s1_P|ms_clean_trig_noisy_mixed_ms_s2_P|ms_clean_trig_noisy_mixed_ms_s3_P,ms_clean_trig_noisy_mixed_ms_d0_P|ms_clean_trig_noisy_mixed_ms_d1_P|ms_clean_trig_noisy_mixed_ms_d2_P,mixed,1,results\multiscaleShipHull_0point__4__ms_clean_trig_mixed.vtk,1,1,,synthetic,3,3,1,1,1.5,0.5,1.8,0.35,1,0.75,0.5,0.35,1,4,0.8,0.04,2.5,1337,1.91743,1.5506,0.0700267,0.068692,0.29254,0.0051407,0,0,1,0.439732,0.5239,0.5067,0.040285,0.279295,0.182787,0.0589731,405,405,0,0.171393,0.292724,1.40103,0.523718,0.398478,0.558934,405,405,0,0.120347,0.265012,1.40018,0.523718,0.279799,0.506019,0.702171,0.90533,0.65446
Data\ShipHull_0.vtk,POINT,synthetic,ms_clean_gaussian,ms_clean_gaussian_noisy_gaussian,ms_clean_gaussian_noisy_gaussian_ms_s3_P,ms_clean_gaussian_noisy_gaussian_ms_fused_P,ms_clean_gaussian_noisy_gaussian_ms_s1_P|ms_clean_gaussian_noisy_gaussian_ms_s2_P|ms_clean_gaussian_noisy_gaussian_ms_s3_P,ms_clean_gaussian_noisy_gaussian_ms_d0_P|ms_clean_gaussian_noisy_gaussian_ms_d1_P|ms_clean_gaussian_noisy_gaussian_ms_d2_P,gaussian,1,results\multiscaleShipHull_0point__5__ms_clean_gaussian_gaussian.vtk,1,1,,synthetic,3,3,1,1,1.5,0.5,1.8,0.35,1,0.75,0.5,0.35,1,4,0.8,0.04,2.5,1337,1.83787,1.3663,0.069784,0.068276,0.104065,-0.0105176,0,0,1,0.306349,0.324561,0.306266,0.0513789,0.131375,0.0620765,0.0447335,405,405,0,0.0841016,0.104082,0.30795,0.523734,0.197984,0.198731,405,405,0,0.0456143,0.0649188,0.259338,0.523734,0.107381,0.123954,0.542371,0.623726,0.472512
Data\ShipHull_0.vtk,POINT,synthetic,ms_clean_gaussian,ms_clean_gaussian_noisy_grf,ms_clean_gaussian_noisy_grf_ms_s3_P,ms_clean_gaussian_noisy_grf_ms_fused_P,ms_clean_gaussian_noisy_grf_ms_s1_P|ms_clean_gaussian_noisy_grf_ms_s2_P|ms_clean_gaussian_noisy_grf_ms_s3_P,ms_clean_gaussian_noisy_grf_ms_d0_P|ms_clean_gaussian_noisy_grf_ms_d1_P|ms_clean_gaussian_noisy_grf_ms_d2_P,grf,1,results\multiscaleShipHull_0point__6__ms_clean_gaussian_grf.vtk,1,1,,synthetic,3,3,1,1,1.5,0.5,1.8,0.35,1,0.75,0.5,0.35,1,4,0.8,0.04,2.5,1337,1.7547,1.5659,0.0704427,0.06968,0.107222,0.499184,12.7515,12.7515,1,0.306349,0.321606,0.313462,0.0513789,0.0588522,0.0526632,0.0116223,405,405,0,0.063344,0.107222,0.477608,0.523734,0.149118,0.204726,405,405,0,0.0638076,0.107606,0.477608,0.523734,0.150209,0.205459,1.00732,1.00358,0.894838
Data\ShipHull_0.vtk,POINT,synthetic,ms_clean_gaussian,ms_clean_gaussian_noisy_impulse,ms_clean_gaussian_noisy_impulse_ms_s3_P,ms_clean_gaussian_noisy_impulse_ms_fused_P,ms_clean_gaussian_noisy_impulse_ms_s1_P|ms_clean_gaussian_noisy_impulse_ms_s2_P|ms_clean_gaussian_noisy_impulse_ms_s3_P,ms_clean_gaussian_noisy_impulse_ms_d0_P|ms_clean_gaussian_noisy_impulse_ms_d1_P|ms_clean_gaussian_noisy_impulse_ms_d2_P,impulse,1,results\multiscaleShipHull_0point__7__ms_clean_gaussian_impulse.vtk,1,1,,synthetic,3,3,1,1,1.5,0.5,1.8,0.35,1,0.75,0.5,0.35,1,4,0.8,0.04,2.5,1337,3.09237,1.9642,0.069992,0.068952,0.152179,0.00027499,0,0,1,0.306349,0.337767,0.329725,0.0513789,0.109854,0.103648,0.0115015,405,405,0,0.0302567,0.152226,0.765872,0.523734,0.0712272,0.290655,405,405,0,0.0412327,0.152767,0.823315,0.523734,0.0970659,0.291688,1.36276,1.00355,0.943514
Data\ShipHull_0.vtk,POINT,synthetic,ms_clean_gaussian,ms_clean_gaussian_noisy_mixed,ms_clean_gaussian_noisy_mixed_ms_s3_P,ms_clean_gaussian_noisy_mixed_ms_fused_P,ms_clean_gaussian_noisy_mixed_ms_s1_P|ms_clean_gaussian_noisy_mixed_ms_s2_P|ms_clean_gaussian_noisy_mixed_ms_s3_P,ms_clean_gaussian_noisy_mixed_ms_d0_P|ms_clean_gaussian_noisy_mixed_ms_d1_P|ms_clean_gaussian_noisy_mixed_ms_d2_P,mixed,1,results\multiscaleShipHull_0point__8__ms_clean_gaussian_mixed.vtk,1,1,,synthetic,3,3,1,1,1.5,0.5,1.8,0.35,1,0.75,0.5,0.35,1,4,0.8,0.04,2.5,1337,1.9588,1.5988,0.069992,0.069888,0.150072,0.0259393,0,0,1,0.306349,0.344888,0.328594,0.0513789,0.149355,0.0844902,0.0430502,405,405,0,0.0961883,0.151354,0.9133,0.523734,0.226437,0.28899,405,405,0,0.0589979,0.126786,0.9133,0.523734,0.138887,0.242081,0.613359,0.837678,0.565701
Data\ShipHull_0.vtk,POINT,synthetic,ms_clean_poly,ms_clean_poly_noisy_gaussian,ms_clean_poly_noisy_gaussian_ms_s3_P,ms_clean_poly_noisy_gaussian_ms_fused_P,ms_clean_poly_noisy_gaussian_ms_s1_P|ms_clean_poly_noisy_gaussian_ms_s2_P|ms_clean_poly_noisy_gaussian_ms_s3_P,ms_clean_poly_noisy_gaussian_ms_d0_P|ms_clean_poly_noisy_gaussian_ms_d1_P|ms_clean_poly_noisy_gaussian_ms_d2_P,gaussian,1,results\multiscaleShipHull_0point__9__ms_clean_poly_gaussian.vtk,1,1,,synthetic,3,3,1,1,1.5,0.5,1.8,0.35,1,0.75,0.5,0.35,1,4,0.8,0.04,2.5,1337,1.6909,1.2512,0.0699573,0.069108,0.0696752,-0.00761324,0,0,1,0.194729,0.205258,0.195562,0.0182064,0.0818845,0.0310593,0.029257,405,405,0,0.0562308,0.0697231,0.221678,0.196516,0.320368,0.354797,405,405,0,0.0301987,0.0425394,0.168761,0.196516,0.172053,0.216468,0.537049,0.610119,0.379307
Data\ShipHull_0.vtk,POINT,synthetic,ms_clean_poly,ms_clean_poly_noisy_grf,ms_clean_poly_noisy_grf_ms_s3_P,ms_clean_poly_noisy_grf_ms_fused_P,ms_clean_poly_noisy_grf_ms_s1_P|ms_clean_poly_noisy_grf_ms_s2_P|ms_clean_poly_noisy_grf_ms_s3_P,ms_clean_poly_noisy_grf_ms_d0_P|ms_clean_poly_noisy_grf_ms_d1_P|ms_clean_poly_noisy_grf_ms_d2_P,grf,1,results\multiscaleShipHull_0point__10__ms_clean_poly_grf.vtk,1,1,,synthetic,3,3,1,1,1.5,0.5,1.8,0.35,1,0.75,0.5,0.35,1,4,0.8,0.04,2.5,1337,1.66723,1.3983,0.070512,0.069628,0.0681552,0.637793,12.7515,12.7515,1,0.194729,0.200129,0.198528,0.0182064,0.0247614,0.0214895,0.00647393,405,405,0,0.0415972,0.0681552,0.420244,0.196516,0.236995,0.346818,405,405,0,0.0414562,0.0680018,0.420244,0.196516,0.236192,0.346038,0.99661,0.99775,0.867863
